Target_label,Version_code,Apk_size,Nlib,min_sdk,targ_sdk,Nperm,Ndang,Nnorm,Ncust,Nact,Nserv,Nintent,delay_last_release,release_time,note_length,chang_perc_note,Apk_size_changed,diff_Apk_size,Nlib_changed,diff_Nlib,min_sdk_changed,diff_min_sdk,targ_sdk_changed,diff_target_sdk,Nperm_changed,diff_Nperm,Ndang_changed,diff_Ndang,Nnorm_changed,diff_Nnorm,Ncust_changed,diff_Ncust,Nact_changed,diff_Nact,Nserv_changed,diff_Nserv,Nintent_changed,diff_Nintent,chang_perc_Apk_size,chang_perc_Nlib,chang_perc_min_sdk,chang_perc_targ_sdk,chang_perc_Nperm,chang_perc_Ndang,chang_perc_Nnorm,chang_perc_Ncust,chang_perc_Nact,chang_perc_Nserv,chang_perc_Nintent,hist_rating,hist_perc_neg_rating,last_rating,last_perc_neg_rating,prev_release_res,app_recent_rate_bad,app_hist_rate_bad,Negativity_ratio
3,228000003,25.98594,2,15,23,12,3,5,3,5,2,6,10,10,85,1.1765,1,0.5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0784,0,0,0,0,0,0,0,0,0,0,4.3596,3.6145,4.3596,3.6145,-1,0,0,1.155
2,229000003,26.28372,2,15,23,12,3,5,3,5,2,6,12.5,15,69,49.4118,1,0.2978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1459,0,0,0,0,0,0,0,0,0,0,4.3605,4.3425,4.3613,5.0705,3,1,1,1.0612
2,230000013,26.28496,2,15,23,12,3,5,3,5,2,6,10,10,69,1.4493,1,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047,0,0,0,0,0,0,0,0,0,0,4.3613,5.0705,4.3623,5.4315,2,0.5,0.5,0.9685
3,230000023,26.39202,2,15,23,12,3,5,3,5,2,6,10,4,69,68.1159,1,0.1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4073,0,0,0,0,0,0,0,0,0,0,4.3618,5.0136,4.3627,4.9568,2,0.34,0.34,1.1346
2,231000003,26.53167,2,15,23,12,3,5,3,5,2,6,10,13,69,1.4493,1,0.1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5291,0,0,0,0,0,0,0,0,0,0,4.3623,5.0705,4.3637,5.8072,3,0.5,0.5,0.9791
2,232000003,26.6702,2,15,23,12,3,5,3,5,2,6,11.5,15,69,1.4493,1,0.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5221,0,0,0,0,0,0,0,0,0,0,4.3625,5.0409,4.3651,5.0113,2,0.41,0.41,1.0671
3,233000013,26.83238,2,15,23,12,3,5,3,5,2,6,13,16,69,1.4493,1,0.1622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6081,0,0,0,0,0,0,0,0,0,0,4.3627,5.0705,4.3669,5.4614,2,0.21,0.34,1.1951
3,234000003,27.14137,2,15,23,12,3,5,3,5,2,6,12,11,69,1.4493,1,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1516,0,0,0,0,0,0,0,0,0,0,4.3632,5.251,4.3682,6.3193,3,0.41,0.43,1.1331
2,235000003,27.17102,2,15,23,12,3,5,3,5,2,6,13,14,70,66.6667,1,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1092,0,0,0,0,0,0,0,0,0,0,4.3637,5.4315,4.3691,6.142,3,0.61,0.5,0.9008
2,236000003,27.20187,2,15,23,12,3,5,3,5,2,6,13.5,16,54,54.2857,1,0.0308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1135,0,0,0,0,0,0,0,0,0,0,4.3644,5.251,4.3709,4.8833,2,0.41,0.45,0.9811
2,237000003,27.2303,2,15,23,12,3,5,3,5,2,6,13,12,61,83.3333,1,0.0284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1045,0,0,0,0,0,0,0,0,0,0,4.3651,5.1877,4.3723,5.1877,2,0.41,0.41,1.0104
2,237000013,27.23393,2,15,23,12,3,5,3,5,2,6,12.5,4,61,1.6393,1,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0,0,0,0,0,0,0,0,0,0,4.366,5.2091,4.373,5.2305,2,0.41,0.37,0.9613
2,238000003,27.89039,2,15,23,12,3,5,3,5,2,6,12,7,61,1.6393,1,0.6565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4105,0,0,0,0,0,0,0,0,0,0,4.3669,5.1877,4.374,4.9763,2,0.21,0.34,1.0124
3,238000043,27.89042,2,15,23,12,3,5,3,5,2,6,11,1,71,83.6066,1,-0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0004,0,0,0,0,0,0,0,0,0,0,4.3682,5.1877,4.3746,0,2,0,0.31,1.1518
2,239000003,27.92786,2,15,23,12,3,5,3,5,2,6,11.5,13,59,50.7042,1,0.0374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1342,0,0,0,0,0,0,0,0,0,0,4.3686,5.2091,4.3756,5.9623,3,0.21,0.36,0.9513
3,240000013,28.12235,2,15,23,12,3,5,3,5,2,6,11,11,59,1.6949,1,0.1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6964,0,0,0,0,0,0,0,0,0,0,4.3691,5.1877,4.3767,4.9555,2,0.21,0.34,1.2867
3,241000003,28.20407,2,15,23,12,3,5,3,5,2,6,11.5,12,77,86.4407,1,0.0817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2906,0,0,0,0,0,0,0,0,0,0,4.37,5.2091,4.3773,6.7023,3,0.41,0.38,1.2224
1,242000003,28.28577,2,15,23,12,3,5,3,5,2,6,12,19,69,58.4416,1,0.0817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2897,0,0,0,0,0,0,0,0,0,0,4.3709,5.2305,4.3785,6.4005,3,0.61,0.42,0.821
2,243000003,28.71463,2,15,23,12,3,5,3,5,2,6,11.5,11,69,1.4493,1,0.4289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5162,0,0,0,0,0,0,0,0,0,0,4.3716,5.2091,4.3799,4.2987,1,0.61,0.39,1.0214
1,244000023,29.15654,2,15,23,12,3,5,3,5,2,6,12,18,52,43.4783,1,0.4419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.539,0,0,0,0,0,0,0,0,0,0,4.3723,5.2305,4.3816,5.3479,2,0.41,0.37,0.8175
1,244000033,29.15816,2,15,23,12,3,5,3,5,2,6,11.5,6,52,1.9231,1,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,4.3727,5.2091,4.3826,4.2805,1,0.41,0.35,0.3857
2,244000053,29.15816,2,15,23,12,3,5,3,5,2,6,11,2,52,1.9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.373,5.1877,4.383,2.0089,1,0.21,0.34,1.0897
2,245000013,29.43894,2,15,23,12,3,5,3,5,2,6,11,5,52,1.9231,1,0.2808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0,4.3735,5.2091,4.3834,5.6765,2,0,0.32,1.1032
1,246000013,48.20363,2,15,23,12,3,5,3,5,2,6,11,11,56,73.0769,1,18.7647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.7411,0,0,0,0,0,0,0,0,0,0,4.374,5.2305,4.3843,5.7764,2,0,0.31,0.8601
2,246000023,48.19649,2,15,23,12,3,5,3,5,2,6,11,6,56,1.7857,1,-0.0071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148,0,0,0,0,0,0,0,0,0,0,4.3741,5.2091,4.3851,4.5031,1,0,0.3,0.8786
